"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1974003511638860091","Fri Oct 03 06:48:07 +0000 2025","0","Selalu utamakan mutu BBM nasional kandungan etanol juga sesuai regulasi sinergi pelaku usaha energi tetap kuat meski ada dinamika #KolaborasiEnergi https://t.co/pT0Objg308","1974003511638860091","https://pbs.twimg.com/media/G2URthEbMAAUR-8.jpg","","in","","0","0","0","https://x.com/undefined/status/1974003511638860091","1701479742141284352",
"1974003473659408683","Fri Oct 03 06:47:57 +0000 2025","0","Kebijakan pembatalan bukan berarti BBM bermasalah kandungan etanol tetap sesuai aturan pemerintah sinergi energi tetap terbuka #KolaborasiEnergi https://t.co/yCg7BVWa0q","1974003473659408683","https://pbs.twimg.com/media/G2URsXhaMAAWaJf.jpg","","in","","0","0","0","https://x.com/undefined/status/1974003473659408683","1542877353130754049",
"1974002125035483252","Fri Oct 03 06:42:36 +0000 2025","1","SPBU Swasta Batal Beli Base Fuel Pertamina karena Kandungan Etanol https://t.co/nspYRQLQ5q","1974002125035483252","","","in","","0","0","3","https://x.com/undefined/status/1974002125035483252","1835971990278307840",
"1974001148915790225","Fri Oct 03 06:38:43 +0000 2025","0","Sinergi antar pelaku energi makin kuat kualitas BBM nasional dan kandungan etanol tetap sesuai aturan #KolaborasiEnergi https://t.co/pEqa2CjmPC","1974001148915790225","https://pbs.twimg.com/media/G2UPlDdbMAE0F5r.jpg","","in","","0","0","0","https://x.com/undefined/status/1974001148915790225","1542903700326232065",
"1974001052836937974","Fri Oct 03 06:38:20 +0000 2025","16","Vivo dan BP Batal Beli BBM Pertamina Gegara Kandungan Etanol Apa Dampaknya pada Mesin Kendaraan? Penggunaan etanol pada campuran BBM murni berdampak buruk pada mesin https://t.co/8NKrkZVn8Z","1974001052836937974","","","in","","2","3","11","https://x.com/undefined/status/1974001052836937974","3319260420",
"1973566929580569018","Fri Oct 03 06:37:45 +0000 2025","0","@grok @dedenij91 @perupadata Bagaimana dengan kandungan etanol dari produsen lain di Indonesia seperti Pertamina Vivo AKR Exxon ?","1974000904132002079","","grok","in","","0","1","0","https://x.com/undefined/status/1974000904132002079","841344534",
"1974000211639877940","Fri Oct 03 06:35:00 +0000 2025","0","Pertamina Beri Penjelasan soal Kandungan Etanol Pada Bensin https://t.co/Lv0nOriI9U","1974000211639877940","","","in","","1","1","1","https://x.com/undefined/status/1974000211639877940","4187275698",
"1973987125272944945","Fri Oct 03 05:43:00 +0000 2025","0","APR dan VIVO batal membeli BBM dari Pertamina. Alasan pembatalan terkait kandungan etanol dalam base fuel yang tidak sesuai kriteria mereka. Ini pernyataan Pertamina: https://t.co/ol4nBZQ859","1973987125272944945","","","in","","0","0","0","https://x.com/undefined/status/1973987125272944945","135795460",
"1973983620651233724","Fri Oct 03 05:29:04 +0000 2025","2","Dirjen Migas Laode Suleman mengatakan sejumlah alasan SPBU Swasta seperti Shell BP dan VIVO yang batal membeli BBM Base Fuel dari Pertamina. Salah satu kualitas base fuel yang ada kandungan etanol menjadi alasannya. Sehingga SPBU Swasta belum bisa menerima. #spbuswasta #shell https://t.co/18cziVkjqV","1973983620651233724","https://pbs.twimg.com/amplify_video_thumb/1973983022618980355/img/fYtdQD0W0tisZPI3.jpg","","in","","0","2","0","https://x.com/undefined/status/1973983620651233724","121640063",
"1973710320276521269","Fri Oct 03 05:24:35 +0000 2025","0","@kerjadarirumahq @SoundOfYogi Iya plot twist-nya emang banyak! Dari sidang DPR terbaru terungkap kargo Pertamina sudah ada kandungan etanol bikin SPBU swasta ogah beli karena kualitas tak sesuai. Bahlil dorong impor 1 pintu buat ungkap ini. Masih investigasi cek sumber resmi untuk update.","1973982492458930617","","kerjadarirumahq","in","","0","0","1","https://x.com/undefined/status/1973982492458930617","1720665183188922368",
"1973724375028519114","Fri Oct 03 04:56:59 +0000 2025","2","@taufik_q @dp_koesmirah Etanol kan ada kandungan air brarti..meski berbentuk Alkohol..","1973975547048046895","","taufik_q","in","","0","0","0","https://x.com/undefined/status/1973975547048046895","1557030741669990400",
"1973940824678543525","Fri Oct 03 04:50:40 +0000 2025","0","@innovacommunity @motoupdate Kandungan etanol yang di supply untuk balapan terlalu tinggi","1973973954693116243","","innovacommunity","in","","0","0","0","https://x.com/undefined/status/1973973954693116243","915071640869888000",
